Model,Acc. (\%),Macro-F1 (\%),ECE,Brier,NLL
ResNet-50,98.63 $\pm$ 0.04,98.58 $\pm$ 0.03,0.0080 $\pm$ 0.0005,0.0218 $\pm$ 0.0009,0.0577 $\pm$ 0.0038
ViT-Small/16,96.77 $\pm$ 1.21,96.66 $\pm$ 1.24,0.0116 $\pm$ 0.0042,0.0502 $\pm$ 0.0165,0.1064 $\pm$ 0.0220
