best,epoch,model,run,seed,train_loss,validation_accuracy,validation_loss,validation_macro_f1
True,1,resnet50,resnet50-seed17,17,0.5634902539283861,0.9508641975308642,0.15438175201416016,0.9497014606895299
False,2,resnet50,resnet50-seed17,17,0.20040561709361585,0.9323456790123457,0.1919771134853363,0.9337723338561403
True,3,resnet50,resnet50-seed17,17,0.14936708106766106,0.9560493827160493,0.1318909376859665,0.9548858339242051
True,4,resnet50,resnet50-seed17,17,0.11444592508284943,0.9624691358024692,0.109966941177845,0.9630347286391511
True,5,resnet50,resnet50-seed17,17,0.10233018885959279,0.9753086419753086,0.07569824159145355,0.9746683593930663
False,6,resnet50,resnet50-seed17,17,0.08254373772990091,0.9686419753086419,0.10276560485363007,0.9679850601632538
False,7,resnet50,resnet50-seed17,17,0.08479175788788457,0.9592592592592593,0.12403404712677002,0.9587896734796152
False,8,resnet50,resnet50-seed17,17,0.07041456101263464,0.9696296296296296,0.09652430564165115,0.9687929625919964
False,9,resnet50,resnet50-seed17,17,0.0708798433804936,0.9683950617283951,0.09225112199783325,0.9677999574716669
False,10,resnet50,resnet50-seed17,17,0.05652705833256951,0.9691358024691358,0.09051153063774109,0.9681486348729559
False,11,resnet50,resnet50-seed17,17,0.05976531330658042,0.974320987654321,0.07382600009441376,0.9735375831718502
False,12,resnet50,resnet50-seed17,17,0.05496020448714377,0.9748148148148148,0.07218621671199799,0.9741457810870842
True,13,resnet50,resnet50-seed17,17,0.04793635663013213,0.9787654320987654,0.06546840816736221,0.9781121324142777
False,14,resnet50,resnet50-seed17,17,0.03721215020821029,0.9738271604938271,0.08605435490608215,0.9727642561562307
False,15,resnet50,resnet50-seed17,17,0.042275696389170975,0.9676543209876544,0.10975610464811325,0.9671892419322412
False,16,resnet50,resnet50-seed17,17,0.042567666045761864,0.9765432098765432,0.07508101314306259,0.9756345432226902
False,17,resnet50,resnet50-seed17,17,0.03369838204013972,0.9785185185185186,0.06183633580803871,0.9781319822516384
False,18,resnet50,resnet50-seed17,17,0.032589019522836556,0.9711111111111111,0.09869061410427094,0.9703658268159931
True,19,resnet50,resnet50-seed17,17,0.02980806311894311,0.9822222222222222,0.05534317344427109,0.9816582571256401
False,20,resnet50,resnet50-seed17,17,0.025803446651918614,0.9748148148148148,0.08077824860811234,0.9734536793810991
False,21,resnet50,resnet50-seed17,17,0.024202216475495236,0.9758024691358025,0.07520875334739685,0.9750229219964665
False,22,resnet50,resnet50-seed17,17,0.025741034595980476,0.9767901234567902,0.07875680178403854,0.9760679257482465
False,23,resnet50,resnet50-seed17,17,0.021280766092977035,0.9782716049382716,0.07117567211389542,0.9777002856373209
False,24,resnet50,resnet50-seed17,17,0.01983495433575551,0.9787654320987654,0.06893513351678848,0.9779356226949357
False,25,resnet50,resnet50-seed17,17,0.014186445181902218,0.9807407407407407,0.06823200732469559,0.9801155332567628
False,26,resnet50,resnet50-seed17,17,0.02038421768974881,0.9785185185185186,0.0796375423669815,0.9779161037916799
False,27,resnet50,resnet50-seed17,17,0.01036749743366901,0.9814814814814815,0.06996630877256393,0.9810925258896689
False,28,resnet50,resnet50-seed17,17,0.008516044366972248,0.9822222222222222,0.061680957674980164,0.9816660956441073
True,29,resnet50,resnet50-seed17,17,0.005233067076785763,0.9851851851851852,0.054032932966947556,0.9847246485219193
False,30,resnet50,resnet50-seed17,17,0.005904004390060666,0.9839506172839506,0.06654839962720871,0.9834575102325073
False,31,resnet50,resnet50-seed17,17,0.007882089247345453,0.9832098765432099,0.05933809280395508,0.9825778036226508
False,32,resnet50,resnet50-seed17,17,0.003765641774231266,0.9832098765432099,0.06385906785726547,0.9826144213604322
True,33,resnet50,resnet50-seed17,17,0.0033884673515562954,0.9859259259259259,0.05480749160051346,0.9855137065224542
True,34,resnet50,resnet50-seed17,17,0.0029354625981551385,0.9871604938271605,0.05328451097011566,0.9868414864088604
False,35,resnet50,resnet50-seed17,17,0.0035857574889075613,0.9859259259259259,0.05347805842757225,0.9854880911929693
False,36,resnet50,resnet50-seed17,17,0.0024253236564251747,0.9859259259259259,0.06048448383808136,0.98530082200803
False,37,resnet50,resnet50-seed17,17,0.0014552536306409497,0.985679012345679,0.059323281049728394,0.985201480131337
False,38,resnet50,resnet50-seed17,17,0.0015981422494287076,0.9869135802469136,0.055447712540626526,0.9866216113753468
True,39,resnet50,resnet50-seed17,17,0.0014971470232066429,0.988641975308642,0.052191898226737976,0.9884116674046131
False,40,resnet50,resnet50-seed17,17,0.0007877054775185264,0.9874074074074074,0.05737481638789177,0.9871533681714383
False,41,resnet50,resnet50-seed17,17,0.001963174581645506,0.9864197530864197,0.05158035457134247,0.9859990014328386
False,42,resnet50,resnet50-seed17,17,0.00035347229996217567,0.9866666666666667,0.049645114690065384,0.9863743049957275
False,43,resnet50,resnet50-seed17,17,0.0005338856059571971,0.9869135802469136,0.05435433238744736,0.9865681048857824
False,44,resnet50,resnet50-seed17,17,0.0004013291166233922,0.9881481481481481,0.05078976973891258,0.9878868395238734
False,45,resnet50,resnet50-seed17,17,0.0003417710011655634,0.9871604938271605,0.05070967972278595,0.9868832187465026
False,46,resnet50,resnet50-seed17,17,0.000506461167288392,0.9876543209876543,0.04746432229876518,0.9873187219618291
