accuracy,brier,count,ece,macro_f1,model,nll,run,seed
0.9866666666666667,0.020763502167183492,4050,0.007476753644001346,0.9861330574148013,resnet50,0.054650729773477916,resnet50-seed17,17
0.9859259259259259,0.02230405459131995,4050,0.008526429335276274,0.985487050076595,resnet50,0.05655531387402198,resnet50-seed29,29
0.9861728395061728,0.022214784575301735,4050,0.007961709845213244,0.985745342212266,resnet50,0.06191365719872624,resnet50-seed43,43
0.9814814814814815,0.031185756994245476,4050,0.01426130084343898,0.9808250781256115,vit_small_patch16_224,0.08139418104516785,vit_small_patch16_224-seed17,17
0.9624691358024692,0.057848031822865534,4050,0.013773744908379994,0.9614531662606763,vit_small_patch16_224,0.1148976684277701,vit_small_patch16_224-seed29,29
0.9590123456790124,0.061438964609925914,4050,0.006703097062346409,0.9576319029622853,vit_small_patch16_224,0.12295216454136777,vit_small_patch16_224-seed43,43
