claim_boundary,defined,display_name,forward_images_per_second,mean_s_label,model,pareto_frontier,timing_scope,timing_seed_count
common final-inference hardware only; training throughput is not compared across architectures,True,ResNet-50,778.0166661888634,0.813360768175583,resnet50,True,model_forward_only_after_device_transfer,3
common final-inference hardware only; training throughput is not compared across architectures,True,ViT-Small/16,416.94094857288775,0.8730864197530864,vit_small_patch16_224,True,model_forward_only_after_device_transfer,3
