calibration_ece_change,calibration_ece_clean,calibration_ece_transformed,class_name,count,failure_count,failure_prevalence_among_clean_correct,family,label_consistency,model,normalized_instability_mean,run,seed,severity,transformed_accuracy,unique_source_count
-0.005267746183607423,0.013906822337044657,0.008639076153437234,AnnualCrop,450,4,0.009070294784580499,resolution,0.9755555555555555,resnet50,0.00020685871056241428,resnet50-seed17,17,mild,0.9866666666666667,450
0.41264181931813565,0.002319462961620731,0.41496128227975637,Forest,450,250,0.5567928730512249,resolution,0.4444444444444444,resnet50,0.023880384087791494,resnet50-seed17,17,mild,0.44222222222222224,450
0.019494798580805463,0.015221209261152457,0.03471600784195792,HerbaceousVegetation,450,17,0.03854875283446712,resolution,0.9488888888888889,resnet50,0.0011561042524005488,resnet50-seed17,17,mild,0.9511111111111111,450
0.0011330800851186082,0.010397408962249756,0.011530489047368364,Highway,375,4,0.01078167115902965,resolution,0.984,resnet50,0.00012444444444444444,resnet50-seed17,17,mild,0.9813333333333333,375
0.003497731367746981,0.008938860734303795,0.012436592102050776,Industrial,375,5,0.013440860215053764,resolution,0.9813333333333333,resnet50,0.0003410699588477366,resnet50-seed17,17,mild,0.9813333333333333,375
0.048648719390233394,0.01779738585154218,0.06644610524177558,Pasture,300,21,0.07167235494880546,resolution,0.9166666666666666,resnet50,0.0014526748971193419,resnet50-seed17,17,mild,0.9133333333333333,300
0.2000614271958669,0.01941983477274569,0.2194812619686126,PermanentCrop,375,106,0.2896174863387978,resolution,0.7146666666666667,resnet50,0.0036872427983539098,resnet50-seed17,17,mild,0.696,375
0.1251502772172292,0.0036364250712924307,0.12878670228852165,Residential,450,90,0.20044543429844097,resolution,0.8,resnet50,0.0013750342935528123,resnet50-seed17,17,mild,0.7977777777777778,450
0.009884041865666694,0.015425655206044539,0.025309697071711233,River,375,3,0.008174386920980926,resolution,0.984,resnet50,0.0002357201646090535,resnet50-seed17,17,mild,0.9733333333333334,375
-0.002675635947121467,0.006183664268917486,0.0035080283217960185,SeaLake,450,0,0.0,resolution,0.9955555555555555,resnet50,0.016006584362139916,resnet50-seed17,17,mild,0.9977777777777778,450
0.034019499222437515,0.013906822337044657,0.04792632155948217,AnnualCrop,450,26,0.05895691609977324,resolution,0.9244444444444444,resnet50,0.0050145404663923185,resnet50-seed17,17,moderate,0.94,450
0.9532268242703543,0.002319462961620731,0.9555462872319751,Forest,450,449,1.0,resolution,0.0,resnet50,0.7534875171467764,resnet50-seed17,17,moderate,0.0,450
0.36868641840087046,0.015221209261152457,0.3839076276620229,HerbaceousVegetation,450,213,0.48299319727891155,resolution,0.5066666666666667,resnet50,0.09815912208504801,resnet50-seed17,17,moderate,0.5088888888888888,450
0.11804438296953837,0.010397408962249756,0.12844179193178812,Highway,375,73,0.1967654986522911,resolution,0.8,resnet50,0.013984526748971195,resnet50-seed17,17,moderate,0.7973333333333333,375
0.22956990869839985,0.008938860734303795,0.23850876943270366,Industrial,375,132,0.3548387096774194,resolution,0.64,resnet50,0.02080329218106996,resnet50-seed17,17,moderate,0.6453333333333333,375
0.4290313872694969,0.01779738585154218,0.4468287731210391,Pasture,300,160,0.5460750853242321,resolution,0.44333333333333336,resnet50,0.06480329218106996,resnet50-seed17,17,moderate,0.44333333333333336,300
0.7515456581115725,0.01941983477274569,0.7709654928843181,PermanentCrop,375,317,0.8661202185792349,resolution,0.14666666666666667,resnet50,0.20632296296296299,resnet50-seed17,17,moderate,0.136,375
0.9388242963949839,0.0036364250712924307,0.9424607214662764,Residential,450,446,0.9933184855233853,resolution,0.006666666666666667,resnet50,0.20885816186556927,resnet50-seed17,17,moderate,0.006666666666666667,450
0.1253207222620646,0.015425655206044539,0.1407463774681091,River,375,71,0.19346049046321526,resolution,0.8026666666666666,resnet50,0.015557530864197531,resnet50-seed17,17,moderate,0.792,375
-0.0059181390868292645,0.006183664268917486,0.0002655251820882211,SeaLake,450,0,0.0,resolution,0.9933333333333333,resnet50,0.016723731138545955,resnet50-seed17,17,moderate,1.0,450
0.6351080768638186,0.013906822337044657,0.6490148992008633,AnnualCrop,450,308,0.6984126984126984,resolution,0.29777777777777775,resnet50,0.18757311385459532,resnet50-seed17,17,severe,0.3,450
0.9976801629861196,0.002319462961620731,0.9999996259477404,Forest,450,449,1.0,resolution,0.0,resnet50,0.8923786008230453,resnet50-seed17,17,severe,0.0,450
0.9700257498688168,0.015221209261152457,0.9852469591299693,HerbaceousVegetation,450,441,1.0,resolution,0.0,resnet50,0.8488504801097393,resnet50-seed17,17,severe,0.0,450
0.9544917755126954,0.010397408962249756,0.9648891844749451,Highway,375,371,1.0,resolution,0.0026666666666666666,resnet50,0.7131871604938272,resnet50-seed17,17,severe,0.0,375
0.8543009225527445,0.008938860734303795,0.8632397832870483,Industrial,375,372,1.0,resolution,0.0,resnet50,0.7228174485596707,resnet50-seed17,17,severe,0.0,375
0.9821708701054255,0.01779738585154218,0.9999682559569677,Pasture,300,293,1.0,resolution,0.0,resnet50,0.5198436213991771,resnet50-seed17,17,severe,0.0,300
0.9252038243611655,0.01941983477274569,0.9446236591339112,PermanentCrop,375,366,1.0,resolution,0.0026666666666666666,resnet50,0.9508543209876543,resnet50-seed17,17,severe,0.0,375
0.9577970847818587,0.0036364250712924307,0.9614335098531511,Residential,450,449,1.0,resolution,0.0,resnet50,0.9910117969821673,resnet50-seed17,17,severe,0.0,450
0.9673347460428874,0.015425655206044539,0.9827604012489319,River,375,367,1.0,resolution,0.0,resnet50,0.3261083127572016,resnet50-seed17,17,severe,0.0,375
-0.006151363452275524,0.006183664268917486,3.230081664196138e-05,SeaLake,450,0,0.0,resolution,0.9933333333333333,resnet50,0.013792592592592594,resnet50-seed17,17,severe,1.0,450
0.0003311316172281611,0.013906822337044657,0.014237953954272818,AnnualCrop,450,1,0.0022675736961451248,spectral_appearance,0.9933333333333333,resnet50,1.0973936899862826e-06,resnet50-seed17,17,mild,0.9822222222222222,450
0.002460039191775906,0.002319462961620731,0.004779502153396637,Forest,450,1,0.0022271714922048997,spectral_appearance,0.9977777777777778,resnet50,2.7434842249657065e-06,resnet50-seed17,17,mild,0.9955555555555555,450
0.011752236154344411,0.015221209261152457,0.026973445415496868,HerbaceousVegetation,450,11,0.024943310657596373,spectral_appearance,0.9711111111111111,resnet50,4.938271604938272e-06,resnet50-seed17,17,mild,0.96,450
0.0004944067001343387,0.010397408962249756,0.010891815662384095,Highway,375,1,0.0026954177897574125,spectral_appearance,0.9973333333333333,resnet50,3.2921810699588475e-06,resnet50-seed17,17,mild,0.9866666666666667,375
